('002245', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300061', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601184', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601941', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('001916', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002245', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601184', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601941', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('001915', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300060', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002245', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601184', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601948', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300060', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002242', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('001915', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601948', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601184', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002242', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('001915', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300063', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601184', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601949', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002242', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('001914', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300063', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601932', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601184', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002242', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300062', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('001914', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601932', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601184', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002243', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300062', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('001914', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601935', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601184', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002243', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('001914', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300065', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601935', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601185', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002243', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('001914', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300064', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601935', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002240', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601185', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('001914', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('300064', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601938', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('002240', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('601185', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300064', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('000792', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601938', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('002241', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('601185', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('300064', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('601938', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('600857', 1, <type 'exceptions.Exception'>, ':', HTTPError())
('002241', 3, <type 'exceptions.Exception'>, ':', HTTPError())
('300064', 2, <type 'exceptions.Exception'>, ':', HTTPError())
('000793', 1, <type 'exceptions.Exception'>, ':', HTTPError())
